#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,CALWFPC2,WFPC2/PC,HST,F336W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki020bm,81.03567463923,-24.52088854974,3,50556.314753588,1100,50921.38918972,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F336W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki020cm,81.03567463923,-24.52088854974,3,50556.3300313657,1100,50921.62101848,GO,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC1904,,hst_6095_04_wfpc2_pc_total_u2vo04,81.04416666667,-24.52416666667,3,50004.1175571,1907,50370.6888888,HAP,0.287491864059362
science,HST,CALSTIS,STIS/CCD,HST,G430L,Optical,NGC1904-F1179,STAR;SDO;POST-AGB STAR,o4er08010,81.04946666667,-24.53863055556,3,51222.449431794,2076.8,54078.40989581,GO,38.747006558647
science,HST,CALSTIS,STIS/NUV-MAMA,HST,G230L,UV,NGC1904-F1179,STAR;SDO;POST-AGB STAR,o4er08030,81.04946666667,-24.53863055556,3,51222.524871794,1200,54079.26679391,GO,45.842394978105
science,HST,CALSTIS,STIS/FUV-MAMA,HST,G140L,UV,NGC1904-F1179,STAR;SDO;POST-AGB STAR,o4er08020,81.04946666667,-24.53863055556,3,51222.507684375,1116,54078.50945594,GO,47.9070480757886
science,HST,HASP,STIS,HASP,G140L;G230L;G430L,UV;OPTICAL,NGC1904-F1179,,hst_hasp_7436_stis_ngc1904-f1179_o4er,81.0494666666667,-24.5386305562402,2,51222.4494212963,4392.8,54079.2666666,HASP,53.4156827548684
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,NGC1904-F1179-OFFSET,STAR,o4er08peq,81.04939583333,-24.53946111111,1,51222.4419554745,8.1,54078.68751147,GO,53.9103348582028
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,NGC1904-F1179,STAR;SDO;POST-AGB STAR,o4er08pfq,81.04946666667,-24.53863055556,1,51222.4470292014,9,54078.77363424,GO,53.9845394206356
science,HST,CALCOS,COS/FUV,HST,G130M,UV,NGC1904-F1179,EXT-STAR;POST-AGB STAR,lbgf15010,81.05075,-24.53922222222,3,56110.8622959838,3292.608,56476.1940625,GTO/COS,56.8596556179084
science,HST,CALCOS,COS/FUV,HST,G160M,UV,NGC1904-F1179,EXT-STAR;POST-AGB STAR,lbgf15020,81.05075,-24.53922222222,3,56110.9359767361,4387.52,56476.19469902,GTO/COS,56.8596556179084
science,HST,CALCOS,COS/FUV,HST,G130M,UV,NGC1904-F1179,EXT-STAR;POST-AGB STAR,lbgf15hjq,81.05075,-24.53922222222,1,56110.8524012384,396,56476.03886569,GTO/COS,56.8596556179084
science,HST,CALCOS,COS/FUV,HST,G130M,UV,NGC1904-F1179,EXT-STAR;POST-AGB STAR,lbgf15hkq,81.05075,-24.53922222222,1,56110.8575568287,115,56476.03892352,GTO/COS,56.8596556179084
science,HST,CALCOS,COS/FUV,HST,G130M,UV,NGC1904-F1179,EXT-STAR;POST-AGB STAR,lbgf15hlq,81.05075,-24.53922222222,1,56110.8608093403,2,56476.03898139,GTO/COS,56.8596556179084
science,HST,HASP,COS,HASP,G130M;G160M,UV,NGC1904-F1179,,hst_hasp_12032_cos_ngc1904-f1179_lbgf,81.05075,-24.5392222215735,2,56110.8622916667,7680.128,56476.19469902,HASP,56.8597224986831
calibration,HST,CALWF3,WFC3/UVIS,HST,F775W,Optical,DARK-EARTH-CALIB,,ibu714i1q,81.01703740409,-24.45212795543,3,56110.8995221412,350,56111.19192132,CAL/WFC3,188.962307255391
calibration,HST,CALWF3,WFC3/UVIS,HST,F775W,Optical,DARK-EARTH-CALIB,,ibu714i2q,81.01703740409,-24.45212795543,3,56110.9051006597,250,56111.1919792,CAL/WFC3,188.962307255391
