#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,CALNIC,NICMOS/NIC1,HST,F160W,Infrared,N590,STAR;T TAURI STAR,na2a02040,86.58164706389,-0.08880340901985,3,54699.6234454051,90,55065.30792825,GO,713.993518251116
science,HST,HAP-SVM,WFPC2/PC,HAP,F547M,Optical,NGC2068-POS1,,hst_5355_01_wfpc2_pc_f547m_u26q01,86.68645416667,0.08928611111111,3,49409.16547948,2,49774.6472222,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F814W,Optical,NGC2068-POS1,,hst_5355_01_wfpc2_pc_f814w_u26q01,86.68645416667,0.08928611111111,3,49409.16756281,202,49774.6430555,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC2068-POS1,,hst_5355_01_wfpc2_pc_total_u26q01,86.68645416667,0.08928611111111,3,49409.16547948,204,49774.6472222,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F547M,Optical,NGC2068-POS3,,hst_5355_03_wfpc2_pc_f547m_u26q03,86.68977916667,0.05573611111111,3,49406.08909056,2,49771.6749999,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F814W,Optical,NGC2068-POS3,,hst_5355_03_wfpc2_pc_f814w_u26q03,86.68977916667,0.05573611111111,3,49406.09117389,202,49771.6708332,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC2068-POS3,,hst_5355_03_wfpc2_pc_total_u26q03,86.68977916667,0.05573611111111,3,49406.08909056,204,49771.6749999,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F555W,Optical,NGC2068,,hst_6134_03_wfpc2_pc_f555w_u31c03,86.691625,0.06667777777778,3,50095.26824018,1240,50461.7555555,HAP,25.6683463858194
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC2068,,hst_6134_03_wfpc2_pc_total_u31c03,86.691625,0.06667777777778,3,50095.26824018,1440,50461.7555555,HAP,25.6683463858194
science,HST,HAP-SVM,WFPC2/PC,HAP,F702W,Optical,NGC2068,,hst_6134_03_wfpc2_pc_f702w_u31c03,86.691625,0.06667777777778,3,50095.27032496,200,50461.7555555,HAP,25.8693223762374
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC2068,STELLAR CLUSTER;,u31c0303t,86.68780645378,0.05897020689476,3,50095.2758805208,600,50461.74766191,GO,27.2270031904773
science,HST,CALWFPC2,WFPC2/PC,HST,F702W,OPTICAL,NGC2068,STELLAR CLUSTER;,u31c0302t,86.68773412396,0.05901187240266,3,50095.2703249653,200,50461.75594901,GO,27.435629696086
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC2068,STELLAR CLUSTER;,u31c0301t,86.68773412396,0.05901187240266,3,50095.2682401968,40,50461.7557754,GO,27.4396413357861
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC2068,STELLAR CLUSTER;,u31c0304t,86.68780645378,0.05897020689476,3,50095.2849082986,600,50461.75043981,GO,27.6508324489448
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,Optical,DARK,,ib913k010,86.66055291375,0.07299046443975,3,55137.1541765856,1800,55137.27751154,CAL/WFC3,30.4956958235255
calibration,HST,CALWF3,WFC3/UVIS,HST,F475X,OPTICAL,BIAS,,ib913kbqq,86.66055291375,0.07299046443975,2,55137.152641169,0,55137.26703697,CAL/WFC3,30.4956958235255
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,HOPS-326,STAR;YSO,hst_11548_9w_wfc3_ir_total_ib0l9w,86.66493,0.07128055555556,3,55137.11363822,2496.170045,55502.31530094,HAP,33.7939162343921
science,HST,HAP-SVM,WFC3/IR,HAP,F160W,INFRARED,HOPS-326,STAR;YSO,hst_11548_9w_wfc3_ir_f160w_ib0l9w,86.66493,0.07128055555556,3,55137.11363822,2496.170045,55502.31530094,HAP,33.8480371560774
science,HST,CALWF3,WFC3/IR,HST,F160W,INFRARED,HOPS-326,STAR;YSO,ib0l9w010,86.66493,0.07128055555556,3,55137.1136382292,2496.170045,55502.31530094,GO,34.1293381895585
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0102t,86.68906131131,0.08913573888848,3,49409.1675628125,1,49774.62959484,GO,38.199059338362
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0103t,86.68906131131,0.08913573888848,3,49409.1689517014,100,49774.63425918,GO,38.199059338362
science,HST,CALWFPC2,WFPC2/PC,HST,F547M,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0101t,86.68906131131,0.08913573888848,3,49409.1654794792,1,49774.62505787,GO,38.2070241779425
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0104t,86.68905227193,0.08915317713082,3,49409.1738128125,100,49774.63899296,GO,38.2492058190287
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0105t,86.68905227193,0.08915317713082,3,49409.1758961458,1,49774.64328698,GO,38.2492058190287
science,HST,CALWFPC2,WFPC2/PC,HST,F547M,OPTICAL,NGC2068-POS1,STELLAR CLUSTER;T ASSOCIATION;,u26q0106t,86.68905227193,0.08915317713082,3,49409.1779794792,1,49774.64756942,GO,38.2571729964409
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,BIAS,,jbbnaxbjq,86.83265881584,0.02251602401228,1,55242.0887609607,0,55242.14099534,CAL/ACS,48.2073448573456
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,DARK,,jbbnaxbkq,86.83265881584,0.02251602401228,1,55242.090346875,1040,55242.32541666,CAL/ACS,48.2073448573456
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,BIAS,,jbbnaydfq,86.80819214916,0.004524357396656,1,55242.1489461458,0,55242.32584486,CAL/ACS,55.1744030339132
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,DARK,,jbbnaydgq,86.80819214916,0.004524357396656,1,55242.1505320602,1040,55242.32685186,CAL/ACS,55.1744030339132
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0304t,86.69222744551,0.0548564848737,3,49406.1467294329,100,49771.66631942,GO,59.4241213803748
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0305t,86.69222744551,0.0548564848737,3,49406.1488127662,1,49771.67090264,GO,59.4241213803748
science,HST,CALWFPC2,WFPC2/PC,HST,F547M,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0306t,86.69222744551,0.0548564848737,3,49406.1508960995,1,49771.6753124,GO,59.4352753455717
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0302t,86.69223104758,0.05483717612992,3,49406.0911738773,1,49771.65708328,GO,59.4915659064892
science,HST,CALWFPC2,WFPC2/PC,HST,F814W,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0303t,86.69223104758,0.05483717612992,3,49406.0925627662,100,49771.66167822,GO,59.4915659064892
science,HST,CALWFPC2,WFPC2/PC,HST,F547M,OPTICAL,NGC2068-POS3,STELLAR CLUSTER;T ASSOCIATION;,u26q0301t,86.69223104758,0.05483717612992,3,49406.089090544,1,49771.65244209,GO,59.5027373293679
calibration,HST,CALWFPC2,WFPC2,HST,F814W,Optical,BIAS,,u29n3501t,86.65748144662,0.1087610385567,2,49811.0001959838,0,49811.57086792,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F814W,Optical,BIAS,,u29n3502t,86.65748144662,0.1087610385567,2,49811.0015848727,0,49811.57269663,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,INTFLAT,,u29n3503t,86.65748144662,0.1087610385567,2,49811.003668206,10,49811.5749304,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,BIAS,,u29n3505t,86.65748144662,0.1087610385567,2,49811.0064459838,0,49811.57685176,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,BIAS,,u29n3506t,86.65748144662,0.1087610385567,2,49811.0078348727,0,49811.57866885,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,INTFLAT,,u29n3507t,86.65748144662,0.1087610385567,2,49811.0092237616,20,49811.58134249,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,INTFLAT,,u29n3508t,86.65748144662,0.1087610385567,2,49811.0106126505,20,49811.58413186,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,KSPOTS,,u29n3509t,86.65748144662,0.1087610385567,2,49811.0120015394,1,49811.58638877,CAL/WFC,75.9486951459026
calibration,HST,CALWFPC2,WFPC2,HST,F555W,Optical,KSPOTS,,u29n350at,86.65748144662,0.1087610385567,2,49811.0133904282,2.6,49811.58887727,CAL/WFC,75.9486951459026
