#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,HAP-SVM,WFC3/UVIS,HAP,F656N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_12_wfc3_uvis_f656n_if6q12,25.58157531039,51.57497188979,3,60332.24636456,1940,60424.8333333,HAP,0.715816113850195
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,NGC650-1,STAR;PLANETARY NEBULA CENTRAL STAR,hst_11599_18_wfc3_uvis_f438w_ib5718,25.58191666667,51.57577777778,3,55103.56512463,500,55103.75365738,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC650-1,STAR;PLANETARY NEBULA CENTRAL STAR,hst_11599_18_wfc3_uvis_f555w_ib5718,25.58191666667,51.57577777778,3,55103.56122426,200,55103.75197907,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC650-1,STAR;PLANETARY NEBULA CENTRAL STAR,hst_11599_18_wfc3_uvis_f814w_ib5718,25.58191666667,51.57577777778,3,55103.55747426,200,55103.75167815,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC650-1,STAR;PLANETARY NEBULA CENTRAL STAR,hst_11599_18_wfc3_uvis_total_ib5718,25.58191666667,51.57577777778,3,55103.55747426,900,55103.75365738,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F475W,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_f475w_if6q07,25.58157530454,51.57497189394,3,60330.39880678,110,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F502N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_f502n_if6q07,25.58157530459,51.57497189391,3,60330.41437382,1160,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F656N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_f656n_if6q07,25.58157530455,51.57497189394,3,60330.40121419,1940,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F658N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_f658n_if6q07,25.58157530462,51.57497189389,3,60330.42291567,980,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_f814w_if6q07,25.58157530464,51.57497189387,3,60330.43050827,100,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_07_wfc3_uvis_total_if6q07,25.58157530464,51.57497189387,3,60330.39880678,4290,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F475W,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_08_wfc3_uvis_f475w_if6q08,25.58157530392,51.57497189439,3,60330.20111012,110,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F502N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_08_wfc3_uvis_f502n_if6q08,25.58157530397,51.57497189435,3,60330.21667715,1160,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F656N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_08_wfc3_uvis_f656n_if6q08,25.58157530393,51.57497189438,3,60330.20351752,1940,60424.8333333,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F658N,OPTICAL,M-76,EXT-STAR;EMISSION LINE NEBULA;PLANETARY NEBULA CENTRAL STAR,hst_17398_08_wfc3_uvis_f658n_if6q08,25.58157530399,51.57497189433,3,60330.22521864,980,60424.8333333,HAP,0
