#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
calibration,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,BIAS,,o69j1c050,189.2204997911,13.2480449229,3,52016.6922064005,0,52016.9745717,CAL/STIS,282.14852688866
science,HST,HAP-SVM,WFPC2/PC,HAP,F336W,Optical,NGC4569,,hst_11128_33_wfpc2_pc_f336w_u9zu33,189.2083333333,13.1625,3,54547.12728389,4800,54914.5840277,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC4569,,hst_11128_33_wfpc2_pc_total_u9zu33,189.2083333333,13.1625,3,54547.12728389,4800,54914.5840277,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F275W,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_f275w_idxr32,189.2077083333,13.16333333333,3,58834.80284115,2190,58835.21254629,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F336W,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_f336w_idxr32,189.2077083333,13.16333333333,3,58834.79662597,1110,58835.18559031,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_f438w_idxr32,189.2077083333,13.16333333333,3,58834.79075782,1050,58835.31866892,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_f555w_idxr32,189.2077083333,13.16333333333,3,58834.81313078,670,58835.16960643,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_f814w_idxr32,189.2077083333,13.16333333333,3,58834.78587374,830,58835.09673613,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4569,GALAXY;SPIRAL,hst_15654_32_wfc3_uvis_total_idxr32,189.2077083333,13.16333333333,3,58834.78587374,5850,58835.31866892,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F657N,OPTICAL,NGC-4569,GALAXY;SPIRAL,hst_17457_12_wfc3_uvis_f657n_if8k12,189.2077083333,13.16333333333,3,60645.05406116,2212,60645.25107634,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4569,GALAXY;SPIRAL,hst_17457_12_wfc3_uvis_total_if8k12,189.2077083333,13.16333333333,3,60645.05406116,2212,60645.25107634,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F657N,OPTICAL,NGC4569-HALPHA,GALAXY;DISK;SPIRAL;STAR FORMING REGION,hst_17502_91_wfc3_uvis_f657n_ifab91,189.2076,13.16286944444,3,60297.06695388,2245,60297.90912029,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC4569-HALPHA,GALAXY;DISK;SPIRAL;STAR FORMING REGION,hst_17502_91_wfc3_uvis_total_ifab91,189.2076,13.16286944444,3,60297.06695388,2245,60297.90912029,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F555W,Optical,NGC4569,,hst_5375_08_wfpc2_pc_f555w_u2dt08,189.2085,13.16327777778,3,49482.25853513,520,49847.7131944,HAP,0
