#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,CALFOS,FOS/BL,HST,G190H,UV,NGC1068-KNT1-OFFSET,GALAXY;STARBURST KNOT,y15g0206p,40.72434416667,-0.002811777777778,2,49253.8053466782,1680,49618.99572907,GO,198.366841636525
science,HST,HAP-SVM,WFPC2/PC,HAP,F450W,Optical,NGC1068,,hst_11128_30_wfpc2_pc_f450w_u9zu30,40.66958333333,-0.01333333333333,3,54328.121724,800,54694.4930556,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC1068,,hst_11128_30_wfpc2_pc_total_u9zu30,40.66958333333,-0.01333333333333,3,54328.121724,800,54694.4930556,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,SN2018IVC,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,hst_15151_04_wfc3_uvis_f555w_idm104,40.67204166667,-0.00880833333332,3,58665.13426913,840,58665.21436343,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,SN2018IVC,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,hst_15151_04_wfc3_uvis_f814w_idm104,40.67204166667,-0.00880833333332,3,58665.15085505,840,58665.21417825,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,SN2018IVC,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,hst_15151_04_wfc3_uvis_total_idm104,40.67204166667,-0.00880833333332,3,58665.13426913,1680,58665.21436343,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,SN2018IVC,STAR;SUPERNOVA,hst_16179_29_wfc3_uvis_f555w_ieb329,40.67204166667,-0.00880833333332,3,59185.03439105,710,59185.16609951,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,SN2018IVC,STAR;SUPERNOVA,hst_16179_29_wfc3_uvis_f814w_ieb329,40.67204166667,-0.00880833333332,3,59185.02822179,780,59185.16738424,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,SN2018IVC,STAR;SUPERNOVA,hst_16179_29_wfc3_uvis_total_ieb329,40.67204166667,-0.00880833333332,3,59185.02822179,1490,59185.16738424,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-1068,GALAXY;SEYFERT;SPIRAL,hst_17165_01_wfc3_uvis_f555w_ieyq01,40.66987916667,-0.01328888888889,3,60297.56782165,2364,60480.92575217,HAP,0
