#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,HAP-SVM,WFC3/UVIS,HAP,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,hst_11613_35_wfc3_uvis_f606w_ib2p35,148.3377024527,69.65834947924,3,55393.44434354,735,55758.52781242,HAP,698.401063305422
science,HST,HAP-SVM,ACS/HRC,HAP,F435W,OPTICAL,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_06_acs_hrc_f435w_j9fb06,148.9715416667,69.68023055556,3,53707.21715941,1132,54072.66939804,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F550M,OPTICAL,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_06_acs_hrc_f550m_j9fb06,148.9715416667,69.68023055556,3,53707.21236756,840,54072.66244207,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F814W,OPTICAL,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_06_acs_hrc_f814w_j9fb06,148.9715416667,69.68023055556,3,53707.21595571,140,54072.66363421,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_06_acs_hrc_total_j9fb06,148.9715416667,69.68023055556,3,53707.21236756,2112,54072.66939804,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F330W,OPTICAL,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_08_acs_hrc_f330w_j9fb08,148.9715416667,69.68023055556,3,53710.66396497,4736,54076.05989581,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,MESSIER-082-A,GALAXY;STARBURST;STAR FORMING REGION,hst_10609_08_acs_hrc_total_j9fb08,148.9715416667,69.68023055556,3,53710.66396497,4736,54076.05989581,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F435W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_21_acs_wfc_f435w_j9l021,148.9254333333,69.69828333333,3,53821.72220935,450,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F555W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_21_acs_wfc_f555w_j9l021,148.9254333333,69.69828333333,3,53821.7295475,340,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F658N,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_21_acs_wfc_f658n_j9l021,148.9254333333,69.69828333333,3,53821.73534474,1100,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_21_acs_wfc_f814w_j9l021,148.9254333333,69.69828333333,3,53821.71834379,175,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,M82-POS2,GALAXY;SEYFERT,hst_10776_21_acs_wfc_total_j9l021,148.9254333333,69.69828333333,3,53821.71834379,2065,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F435W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_22_acs_wfc_f435w_j9l022,148.9254333333,69.69828333333,3,53821.78880676,450,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F555W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_22_acs_wfc_f555w_j9l022,148.9254333333,69.69828333333,3,53821.79614453,340,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F658N,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_22_acs_wfc_f658n_j9l022,148.9254333333,69.69828333333,3,53821.80194305,1100,54100.0006944,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,M82-POS2,GALAXY;SEYFERT,hst_10776_22_acs_wfc_f814w_j9l022,148.9254333333,69.69828333333,3,53821.78494083,175,54100.0006944,HAP,0
