#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
calibration,HST,CALWFPC2,WFPC2,HST,F814W,Optical,VISFLAT,,u3e8260cr,148.322362,69.0779465,2,50545.4675297801,0.6,50545.79130784,CAL/WF2,638.161215796834
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,M81-TILE11,GALAXY;SPIRAL,hst_10250_06_acs_wfc_f814w_j90l06,148.7958333333,69.08194444444,3,53262.80276529,1650,53628.08206014,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,M81-TILE11,GALAXY;SPIRAL,hst_10250_06_acs_wfc_total_j90l06,148.7958333333,69.08194444444,3,53262.80276529,1650,53628.08206014,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F814W,OPTICAL,M81-TILE15,GALAXY;SPIRAL,hst_10250_08_acs_wfc_f814w_j90l08,148.8591666667,69.0325,3,53263.3240964,1650,53628.50774296,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,M81-TILE15,GALAXY;SPIRAL,hst_10250_08_acs_wfc_total_j90l08,148.8591666667,69.0325,3,53263.3240964,1650,53628.50774296,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F435W,OPTICAL,M81-FIELD-16,GALAXY;SPIRAL,hst_10584_14_acs_wfc_f435w_j9el14,148.8535625,69.04019166667,3,53986.91841592,1200,54355.56334476,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F606W,OPTICAL,M81-FIELD-16,GALAXY;SPIRAL,hst_10584_14_acs_wfc_f606w_j9el14,148.8535625,69.04019166667,3,53986.92766369,1200,54355.24928239,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,M81-FIELD-16,GALAXY;SPIRAL,hst_10584_14_acs_wfc_total_j9el14,148.8535625,69.04019166667,3,53986.91841592,2400,54355.56334476,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F435W,OPTICAL,M81-FIELD-17,GALAXY;SPIRAL,hst_10584_28_acs_wfc_f435w_j9el28,148.9892958333,69.06168333333,3,53821.13783453,465,54186.57164344,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F606W,OPTICAL,M81-FIELD-17,GALAXY;SPIRAL,hst_10584_28_acs_wfc_f606w_j9el28,148.9892958333,69.06168333333,3,53821.14551972,470,54186.57171288,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,M81-FIELD-17,GALAXY;SPIRAL,hst_10584_28_acs_wfc_total_j9el28,148.9892958333,69.06168333333,3,53821.13783453,935,54186.57171288,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F110W,INFRARED,NGC3031,GALAXY;SPIRAL,hst_11421_01_wfc3_ir_f110w_iab501,148.8882083333,69.06530555556,3,55006.85394814,142.945755,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,NGC3031,GALAXY;SPIRAL,hst_11421_01_wfc3_ir_total_iab501,148.8882083333,69.06530555556,3,55006.85394814,142.945755,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,NGC3031,GALAXY;SPIRAL,hst_11421_01_wfc3_uvis_f438w_iab501,148.8882083333,69.06530555556,3,55006.83861835,600,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC3031,GALAXY;SPIRAL,hst_11421_01_wfc3_uvis_total_iab501,148.8882083333,69.06530555556,3,55006.83861835,600,55083.6666666,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F555W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,hst_11731_05_acs_wfc_f555w_jb6k05,148.8489919253,69.0769392163,3,55413.52150836,2421,55778.7249305,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,ANY,UNIDENTIFIED;PARALLEL FIELD,hst_11731_05_acs_wfc_total_jb6k05,148.8489919253,69.0769392163,3,55413.52150836,2421,55778.7249305,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F153M,INFRARED,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_ir_f153m_idk804,148.88822125,69.06529444444,3,58101.41404174,155.330476,58283.6540046,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_ir_total_idk804,148.88822125,69.06529444444,3,58101.41404174,155.330476,58283.6540046,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F218W,UV,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_uvis_f218w_idk804,148.88822125,69.06529444444,3,58101.39191565,1640,58283.65853005,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_uvis_f438w_idk804,148.88822125,69.06529444444,3,58101.38792269,80,58283.65945594,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F547M,OPTICAL,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_uvis_f547m_idk804,148.88822125,69.06529444444,3,58101.38101269,40,58283.6595601,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_uvis_f814w_idk804,148.88822125,69.06529444444,3,58101.38456602,20,58283.65983794,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,hst_15123_04_wfc3_uvis_total_idk804,148.88822125,69.06529444444,3,58101.38101269,1780,58283.65983794,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F547M,Optical,NGC3031,,hst_5433_03_wfpc2_pc_f547m_u2jq03,148.8904166667,69.06522222222,3,49798.63700149,400,50164.942361,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC3031,,hst_5433_03_wfpc2_pc_total_u2jq03,148.8904166667,69.06522222222,3,49798.63700149,400,50164.942361,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F160BN15,UV,NGC3031,,hst_5986_01_wfpc2_pc_f160bn15_u32l01,148.8883229503,69.06533083422,3,50083.41754705,3000,50449.6548611,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F547M,Optical,NGC3031,,hst_5986_01_wfpc2_pc_f547m_u32l01,148.8883229503,69.06533083422,3,50083.41476782,90,50449.6604166,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F656N,Optical,NGC3031,,hst_5986_01_wfpc2_pc_f656n_u32l01,148.8883229503,69.06533083422,3,50083.40504705,1800,50449.6604166,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC3031,,hst_5986_01_wfpc2_pc_total_u32l01,148.8883229503,69.06533083422,3,50083.40504705,4890,50449.6604166,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F330W,OPTICAL,NGC3031,GALAXY;SEYFERT,hst_9379_20_acs_hrc_f330w_j8ek20,148.8882083333,69.06530555556,3,52610.30357568,1200,52701.54681705,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,NGC3031,GALAXY;SEYFERT,hst_9379_20_acs_hrc_total_j8ek20,148.8882083333,69.06530555556,3,52610.30357568,1200,52701.54681705,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F250W,UV,M81,GALAXY;NUCLEUS;LINER,hst_9454_03_acs_hrc_f250w_j8ff03,148.8882083333,69.06530555556,3,52491.58544885,300,52491.74552074,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F330W,OPTICAL,M81,GALAXY;NUCLEUS;LINER,hst_9454_03_acs_hrc_f330w_j8ff03,148.8882083333,69.06530555556,3,52491.59030996,300,52491.74695594,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,M81,GALAXY;NUCLEUS;LINER,hst_9454_03_acs_hrc_total_j8ff03,148.8882083333,69.06530555556,3,52491.58544885,600,52491.74695594,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F250W,UV,M81,GALAXY;NUCLEUS;LINER,hst_9454_20_acs_hrc_f250w_j8ff20,148.8882083333,69.06530555556,3,52605.93715203,300,52606.32587958,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F330W,OPTICAL,M81,GALAXY;NUCLEUS;LINER,hst_9454_20_acs_hrc_f330w_j8ff20,148.8882083333,69.06530555556,3,52605.94201314,300,52606.32646991,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,M81,GALAXY;NUCLEUS;LINER,hst_9454_20_acs_hrc_total_j8ff20,148.8882083333,69.06530555556,3,52605.93715203,600,52606.32646991,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F250W,UV,M81,GALAXY;NUCLEUS;LINER,hst_9454_37_acs_hrc_f250w_j8ff37,148.8882083333,69.06530555556,3,52672.94579872,300,52673.14366892,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F330W,OPTICAL,M81,GALAXY;NUCLEUS;LINER,hst_9454_37_acs_hrc_f330w_j8ff37,148.8882083333,69.06530555556,3,52672.95065984,300,52673.14405092,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,M81,GALAXY;NUCLEUS;LINER,hst_9454_37_acs_hrc_total_j8ff37,148.8882083333,69.06530555556,3,52672.94579872,600,52673.14405092,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F250W,UV,M81,GALAXY;NUCLEUS;LINER,hst_9454_54_acs_hrc_f250w_j8ff54,148.8882083333,69.06530555556,3,52736.53238558,300,52736.74395823,HAP,0
