#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,HI-LATITUDE-FIELD,STAR,o682eqlfq,244.3059072995,-23.04530108623,2,51716.6755060532,200,51717.05863422,ENG/STIS/PAR,266.092880580127
science,HST,HAP-SVM,ACS/SBC,HAP,F165LP,UV,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_01_acs_sbc_f165lp_j8y501,244.2604166667,-22.975,3,53259.96674853,10232,53465.78193287,HAP,0
science,HST,HAP-SVM,ACS/SBC,HAP,detection,,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_01_acs_sbc_total_j8y501,244.2604166667,-22.975,3,53259.96674853,10232,53465.78193287,HAP,0
science,HST,HAP-SVM,ACS/SBC,HAP,F150LP,UV,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_02_acs_sbc_f150lp_j8y502,244.2604166667,-22.975,3,53268.82798704,2480,53465.78228004,HAP,0
science,HST,HAP-SVM,ACS/SBC,HAP,detection,,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_02_acs_sbc_total_j8y502,244.2604166667,-22.975,3,53268.82798704,2480,53465.78228004,HAP,0
science,HST,HAP-SVM,ACS/SBC,HAP,F140LP,UV,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_03_acs_sbc_f140lp_j8y503,244.2604166667,-22.975,3,53274.82798704,2480,53465.78233791,HAP,0
science,HST,HAP-SVM,ACS/SBC,HAP,detection,,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_03_acs_sbc_total_j8y503,244.2604166667,-22.975,3,53274.82798704,2480,53465.78233791,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,F250W,UV,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_04_acs_hrc_f250w_j8y504,244.2604166667,-22.975,3,53285.36129529,2384,53650.5714119,HAP,0
science,HST,HAP-SVM,ACS/HRC,HAP,detection,,M80,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10183_04_acs_hrc_total_j8y504,244.2604166667,-22.975,3,53285.36129529,2384,53650.5714119,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,F435W,OPTICAL,MESSIER-080,STELLAR CLUSTER;GLOBULAR CLUSTER,hst_10573_03_acs_wfc_f435w_j9d603,244.2604166667,-22.975,3,53768.30673389,420,54133.56540501,HAP,0
