#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,BIAS,,j8tljgjhq,204.2882814482,-29.82514202847,1,53227.4771629977,0,53227.65799759,CAL/ACS,401.417126086157
science,HST,HAP-SVM,ACS/WFC,HAP,F660N,OPTICAL,ANY,UNIDENTIFIED;ACCRETION DISK;X-RAY EMITTER,hst_10579_a1_acs_wfc_f660n_j9h8a1,204.33375,-29.89611111111,3,53791.79774093,1996,54157.34714122,HAP,0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,ANY,UNIDENTIFIED;ACCRETION DISK;X-RAY EMITTER,hst_10579_a1_acs_wfc_total_j9h8a1,204.33375,-29.89611111111,3,53791.79774093,1996,54157.34714122,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F110W,INFRARED,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_ir_f110w_ib6w61,204.2684583333,-29.85777777778,3,55069.32148389,1797.694701,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F160W,INFRARED,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_ir_f160w_ib6w61,204.2684583333,-29.85777777778,3,55069.31354426,2396.926268,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_ir_total_ib6w61,204.2684583333,-29.85777777778,3,55069.31354426,4194.620969,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F225W,UV,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_uvis_f225w_ib6w61,204.2684583333,-29.85777777778,3,55069.49327225,1800,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F336W,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_uvis_f336w_ib6w61,204.2684583333,-29.85777777778,3,55069.30460336,1890,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_uvis_f438w_ib6w61,204.2684583333,-29.85777777778,3,55069.29591114,1880,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_61_wfc3_uvis_total_ib6w61,204.2684583333,-29.85777777778,3,55069.29591114,5570,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F128N,INFRARED,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_ir_f128n_ib6w62,204.2684583333,-29.85777777778,3,55068.97287278,1197.693786,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,F164N,INFRARED,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_ir_f164n_ib6w62,204.2684583333,-29.85777777778,3,55069.03801167,2397.697266,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/IR,HAP,detection,,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_ir_total_ib6w62,204.2684583333,-29.85777777778,3,55068.97287278,3595.391052,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F438W,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_uvis_f438w_ib6w62,204.2684583333,-29.85777777778,3,55069.11484632,10,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F487N,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_uvis_f487n_ib6w62,204.2684583333,-29.85777777778,3,55068.82733484,2700,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F502N,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_uvis_f502n_ib6w62,204.2684583333,-29.85777777778,3,55069.16014744,2484,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_uvis_f555w_ib6w62,204.2684583333,-29.85777777778,3,55069.22672151,1203,55083.6666666,HAP,0
science,HST,HAP-SVM,WFC3/UVIS,HAP,F657N,OPTICAL,MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,hst_11360_62_wfc3_uvis_f657n_ib6w62,204.2684583333,-29.85777777778,3,55068.72571447,1484,55083.6666666,HAP,0
