target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
ANY,UNIDENTIFIED;ACCRETION DISK;X-RAY EMITTER,204.33375,-29.89611111111,3,53791.79774093,1996.0
ANY,UNIDENTIFIED;ACCRETION DISK;X-RAY EMITTER,204.33375,-29.89611111111,3,53791.79774093,1996.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.32148389,1797.694701
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.31354426,2396.926268
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.31354426,4194.620969
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.49327225,1800.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.30460336,1890.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.29591114,1880.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.29591114,5570.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.97287278,1197.693786
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.03801167,2397.697266
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.97287278,3595.391052
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.11484632,10.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.82733484,2700.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.16014744,2484.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.22672151,1203.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.72571447,1484.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.19363114,1213.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.72571447,9094.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55062.9799376,3200.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55063.05766909,10.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55063.10233353,1850.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55062.9799376,5060.0
M83,GALAXY;STARBURST,204.252125,-29.86680555556,3,54834.10072105,2640.0
M83,GALAXY;STARBURST,204.252125,-29.86680555556,3,54834.10072105,2640.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2714166667,-29.86863888889,3,57408.84675498,2608.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2714166667,-29.86863888889,3,57408.79285424,1544.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2714166667,-29.86863888889,3,57408.71682424,1452.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2714166667,-29.86863888889,3,57408.73975239,1572.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2714166667,-29.86863888889,3,57408.71682424,7176.0
NGC-5236,GALAXY;SPIRAL;STARBURST,204.2512170228,-29.86532692764,3,60124.04059541,2440.0
NGC-5236,GALAXY;SPIRAL;STARBURST,204.2512170228,-29.86532692764,3,60124.04059541,2440.0
NGC-5236,GALAXY;SPIRAL;STARBURST,204.2512170948,-29.86532697435,3,59963.64294936,2340.0
NGC-5236,GALAXY;SPIRAL;STARBURST,204.2512170948,-29.86532697435,3,59963.64294936,2340.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.87176855,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.98039151,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.91989373,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.04122485,640.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.10769447,640.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.05407188,640.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.87176855,4800.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.2959111458,1880.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.3046033565,1890.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.3135442477,2396.926268
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.3214838773,1797.694701
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.4932722569,2400.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.7257144676,1484.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.827334838,2700.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55068.9728727662,1197.693786
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.0380116551,2397.697266
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.1601474537,3312.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.1936311343,1614.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.2267214931,1203.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55069.114846331,10.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55062.9799376157,3200.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55063.1023335301,1850.0
MESSIER-083,GALAXY;SPIRAL;STAR FORMING REGION;STARBURST,204.2684583333,-29.85777777778,3,55063.0576690972,10.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2715960266,-29.8689337119,3,57408.7168242245,1452.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2715960266,-29.8689337119,3,57408.7397523958,1572.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2715960266,-29.8689337119,3,57408.7928542477,1544.0
M-83-ULX,EXT-STAR;ACCRETION DISK;IRREGULAR VARIABLE;X-RAY TRANSIENT,204.2715960266,-29.8689337119,3,57408.8467549769,2608.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.8717685532,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.9198937153,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52513.9803915162,960.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.0412248495,640.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.054071875,640.0
M83-NUC,GALAXY;SPIRAL,204.25324,-29.86629,3,52514.1076944792,640.0
ANY,UNIDENTIFIED;ACCRETION DISK;X-RAY EMITTER,204.2618511384,-29.87242238473,3,53791.7977409375,1996.0
M83,GALAXY;STARBURST,204.252150418,-29.8667995366,3,54834.1007210301,2640.0
