target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.80284115,2190.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.79662597,1110.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.79075782,1050.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.81313078,670.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.78587374,830.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.78587374,5850.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,60645.05406116,2212.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,60645.05406116,2212.0
NGC4569-HALPHA,GALAXY;DISK;SPIRAL;STAR FORMING REGION,189.2076,13.16286944444,3,60297.06695388,2245.0
NGC4569-HALPHA,GALAXY;DISK;SPIRAL;STAR FORMING REGION,189.2076,13.16286944444,3,60297.06695388,2245.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52458.14815662,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52458.15023995,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52458.14815662,120.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52672.60932909,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52672.61141243,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52672.60932909,120.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52729.87062632,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52729.87270965,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52729.87062632,120.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52758.02054716,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52758.02263049,60.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52758.02054716,120.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52458.14815662,240.0
NGC4569,GALAXY;NUCLEUS;LINER,189.2081666667,13.16238888889,3,52458.15023995,240.0
NGC-4569,GALAXY;SPIRAL,189.2077083333,13.16333333333,3,58834.80284115,2190.0
