target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.8515612,175.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.8515612,2065.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.92202416,450.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.92936231,340.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.93516083,1100.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.91815861,175.0
M82-POS2,GALAXY;SEYFERT,148.9254333333,69.69828333333,3,53821.91815861,2065.0
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.21056496,1835.001111
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.21947718,1842.462396
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.21056496,3677.463507
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.26849405,1070.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.26041516,1050.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.32423479,360.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.26041516,2480.0
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.82054829,1197.693786
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.84956459,2397.697266
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55152.82054829,3595.391052
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.80919998,2455.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.79836665,2465.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55152.79836665,4920.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55150.0474522,30.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55150.08298479,30.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55149.9953922,2850.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55150.05836665,2760.0
MESSIER-082,GALAXY;STARBURST,148.9725,69.67388888889,3,55149.9953922,5670.0
MESSIER-082-IR-POS-1,GALAXY;STARBURST,148.9333333333,69.67833333333,3,55197.3787085,1195.385742
MESSIER-082-IR-POS-1,GALAXY;STARBURST,148.9333333333,69.67833333333,3,55197.37373184,2395.387572
MESSIER-082-IR-POS-1,GALAXY;STARBURST,148.9333333333,69.67833333333,3,55197.37373184,3590.773314
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55197.36531167,1665.0
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55197.35746464,1620.0
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55197.35174686,1070.0
MESSIER-082-IR-NUC,GALAXY;STARBURST,148.9654166667,69.67916666667,3,55197.35174686,4355.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.42378063,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.42378063,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.68910507,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.68910507,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56628.27683618,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56628.27683618,13249.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56628.54915137,6553.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56628.54915137,6553.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.10761174,2937.0
MESSIER-082,GALAXY;STARBURST;WIND,148.9704291667,69.67443888889,3,56626.10761174,2937.0
