target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime
M81-TILE11,GALAXY;SPIRAL,148.7958333333,69.08194444444,3,53262.80276529,1650.0
M81-TILE11,GALAXY;SPIRAL,148.7958333333,69.08194444444,3,53262.80276529,1650.0
M81-TILE15,GALAXY;SPIRAL,148.8591666667,69.0325,3,53263.3240964,1650.0
M81-TILE15,GALAXY;SPIRAL,148.8591666667,69.0325,3,53263.3240964,1650.0
M81-FIELD-16,GALAXY;SPIRAL,148.8535625,69.04019166667,3,53986.91841592,1200.0
M81-FIELD-16,GALAXY;SPIRAL,148.8535625,69.04019166667,3,53986.92766369,1200.0
M81-FIELD-16,GALAXY;SPIRAL,148.8535625,69.04019166667,3,53986.91841592,2400.0
M81-FIELD-17,GALAXY;SPIRAL,148.9892958333,69.06168333333,3,53821.13783453,465.0
M81-FIELD-17,GALAXY;SPIRAL,148.9892958333,69.06168333333,3,53821.14551972,470.0
M81-FIELD-17,GALAXY;SPIRAL,148.9892958333,69.06168333333,3,53821.13783453,935.0
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.85394814,142.945755
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.85394814,142.945755
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.83861835,600.0
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.83861835,600.0
ANY,UNIDENTIFIED;PARALLEL FIELD,148.8489919253,69.0769392163,3,55413.52150836,2421.0
ANY,UNIDENTIFIED;PARALLEL FIELD,148.8489919253,69.0769392163,3,55413.52150836,2421.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.41404174,155.330476
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.41404174,155.330476
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.39191565,1640.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.38792269,80.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.38101269,40.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.38456602,20.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.38101269,1780.0
NGC3031,GALAXY;SEYFERT,148.8882083333,69.06530555556,3,52610.30357568,1200.0
NGC3031,GALAXY;SEYFERT,148.8882083333,69.06530555556,3,52610.30357568,1200.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52491.58544885,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52491.59030996,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52491.58544885,600.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52605.93715203,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52605.94201314,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52605.93715203,600.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52672.94579872,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52672.95065984,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52672.94579872,600.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52736.53238558,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52736.53724669,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52736.53238558,600.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52802.33848752,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52802.34334864,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52802.33848752,600.0
NGC3031,GALAXY;SPIRAL;NUCLEUS,148.8882083333,69.06529444444,3,52900.38525992,700.0
NGC3031,GALAXY;SPIRAL;NUCLEUS,148.8882083333,69.06529444444,3,52900.38177622,120.0
NGC3031,GALAXY;SPIRAL;NUCLEUS,148.8882083333,69.06529444444,3,52900.38525992,820.0
M81-FIELD-27,GALAXY;SPIRAL,148.9921666667,68.89001388889,3,53709.26845571,26990.0
ANY,UNIDENTIFIED;PARALLEL FIELD,148.6039925042,69.10140963459,3,55147.26425707,24210.0
M81-FIELD-27,EXT-STAR;SUPERNOVA;;GALAXY;SPIRAL,148.9921666667,68.89001388889,3,52422.35464953,33428.0
NGC3031,GALAXY;SPIRAL;NUCLEUS,148.8882083333,69.06529444444,3,52900.38525992,700.0
NGC3031,EXT-STAR;SUPERNOVA;;GALAXY;SPIRAL,148.8882083333,69.06529444444,3,52422.2698462,32547.0
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.85394814,881.198442
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.85394814,881.198442
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.41404174,155.330476
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.41404174,155.330476
M-81,STAR;SUPERNOVA,148.88822125,69.06529444444,3,55921.19555929,7640.0
M-81,GALAXY;SPIRAL,148.88822125,69.06529444444,3,55006.83861835,1536.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.38101269,40.0
M-81,STAR;SUPERNOVA,148.88822125,69.06529444444,3,55976.87897507,3211.0
NGC3031,GALAXY;SPIRAL,148.8882083333,69.06530555556,3,55006.8539481481,142.945755
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.3810126968,40.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.3845660069,20.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.3879226852,80.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.3919156597,1640.0
M-81,GALAXY;ACCRETION DISK;BLR;LINER;NLR;NUCLEUS,148.88822125,69.06529444444,3,58101.4140417477,156.0
NGC3031,GALAXY;SEYFERT,148.8882083333,69.06530555556,3,52610.3035756597,1140.0
NGC3031,GALAXY;SEYFERT,148.8882083333,69.06530555556,3,52610.3178800579,60.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52491.5854488426,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52491.5903099537,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52605.9371520486,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52605.9420131597,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52672.9457987269,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52672.950659838,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52736.5323855671,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52736.5372466782,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52802.3384875,300.0
M81,GALAXY;NUCLEUS;LINER,148.8882083333,69.06530555556,3,52802.3433486458,300.0
NGC3031,GALAXY;SPIRAL;NUCLEUS,148.8882083333,69.06529444444,3,52900.385259919,700.0
M81-TILE11,GALAXY;SPIRAL,148.7958333333,69.08194444444,3,53262.8027652778,1650.0
M81-TILE15,GALAXY;SPIRAL,148.8591666667,69.0325,3,53263.3240963773,1650.0
M81-FIELD-16,GALAXY;SPIRAL,148.8535625,69.04019166667,3,53986.9184159375,1200.0
M81-FIELD-16,GALAXY;SPIRAL,148.8535625,69.04019166667,3,53986.9276636921,1200.0
M81-FIELD-17,GALAXY;SPIRAL,148.9892958333,69.06168333333,3,53815.0783551736,1200.0
M81-FIELD-17,GALAXY;SPIRAL,148.9892958333,69.06168333333,3,53815.0876029282,1200.0
M81-FIELD-17,GALAXY;SPIRAL,148.9195567155,69.05075958192,3,53821.1378345255,465.0
M81-FIELD-17,GALAXY;SPIRAL,148.9195567155,69.05075958192,3,53821.1455197106,470.0
ANY,UNIDENTIFIED;PARALLEL FIELD,148.8489919253,69.0769392163,3,55413.5279779745,2000.0
ANY,UNIDENTIFIED;PARALLEL FIELD,148.8489919253,69.0769392163,3,55413.5215083681,421.0
NGC3031,GALAXY;SPIRAL,148.8862396832,69.06501934176,3,50711.0501782755,384.0
